NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
aks-aue-qa-mex-02,Microsoft.ContainerService/managedClusters,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-001,
appi-aue-qa-mex-api-01,Microsoft.Insights/components,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-001,
mi-aks-aue-qa-mex-02-agentpool,Microsoft.ManagedIdentity/userAssignedIdentities,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-001,
stamexaueqaaks,Microsoft.Storage/storageAccounts,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-001,
aset-vmaueqamexcas,Microsoft.Compute/availabilitySets,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1-data,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas1-data2,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2-data,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
vmaueqamexcas2-data2,Microsoft.Compute/disks,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-api-002,
